iter	RMSE
287	0.1476664092
288	0.1471949618
289	0.1467799575
290	0.146515255
291	0.1462195809
292	0.1461503689
293	0.145743185
294	0.1453040233
295	0.1447100001
296	0.144384422
297	0.1440325054
298	0.1437311863
299	0.1435805065
300	0.143145466
301	0.142801265
302	0.1426272503
303	0.1422065671
304	0.1414703859
305	0.1411589899
306	0.1407617711
307	0.1404465974
308	0.1397828012
309	0.1391611604
310	0.1388395679
311	0.1387212202
312	0.1385718883
313	0.1382871402
314	0.1380097912
315	0.1376645397
316	0.1374413985
317	0.1370682199
318	0.1367275226
319	0.136400801
320	0.1360774241
321	0.1358787154
322	0.1352980079
323	0.1352523712
324	0.1347789898
325	0.1345681487
326	0.1342601256
327	0.1340041032
328	0.1334802315
329	0.1330033886
330	0.1329663677
331	0.1325136306
332	0.1324497099
333	0.1320228348
334	0.1316358237
335	0.1313159999
336	0.1312588437
337	0.131066453
338	0.1310146796
339	0.1308299447
340	0.1305019543
341	0.1303343273
342	0.1302065331
343	0.1299320816
344	0.1298358992
345	0.1295770581
346	0.1291655505
347	0.1291544583
348	0.1289589994
349	0.1286659696
350	0.1283423957
351	0.1277989129
352	0.1274660431
353	0.1272317619
354	0.1270693792
355	0.1268807786
356	0.1264893652
357	0.1263150346
358	0.1261820208
359	0.1259266654
360	0.1257929706
361	0.1257399759
362	0.125169121
363	0.1248820515
364	0.1244595864
365	0.1244506468
366	0.1241059152
367	0.1238856054
368	0.1235344864
369	0.1235247004
370	0.1235165774
371	0.1235074052
372	0.1234998249
373	0.1234910002
374	0.1234824835
375	0.123137609
376	0.1229572156
377	0.1227373809
378	0.1224538941
379	0.1221766567
380	0.121732646
381	0.1217260594
382	0.1216131737
383	0.1216068137
384	0.1213871127
385	0.1211686817
386	0.1209002419
387	0.1206357314
388	0.1205155873
389	0.1200598913
390	0.1197110469
391	0.1194475316
392	0.1193225484
393	0.1192661252
394	0.119083156
395	0.1189388394
396	0.118597582
397	0.1184770615
398	0.1180986021
399	0.117974658
400	0.1176550588
401	0.1173839657
402	0.1170846372
403	0.1169000427
404	0.1166382411
405	0.1165644931
406	0.1164959906
407	0.1163768298
408	0.1162581514
409	0.1160034928
410	0.1158390341
411	0.115609933
412	0.115394668
413	0.1152751586
414	0.1151019507
415	0.1149841381
416	0.1148515112
417	0.1148463572
418	0.1146319536
419	0.1146273095
420	0.1143514568
421	0.1141066991
422	0.1139390543
423	0.1137799485
424	0.1137753459
425	0.11354859
426	0.1132786471
427	0.1130389488
428	0.1129478255
429	0.1128348115
430	0.1126088203
431	0.1126045654
432	0.1123963839
433	0.1121742742
434	0.112042855
435	0.1118901838
436	0.1116776953
437	0.1116735618
438	0.111529896
439	0.1112986067
440	0.1111197053
441	0.1111155529
442	0.1111114755
443	0.110998093
444	0.110979156
445	0.1107223207
446	0.1106483914
447	0.1103789899
448	0.1101607522
449	0.1100107934
450	0.1099329268
451	0.109758292
452	0.1095482429
453	0.1095443626
454	0.1094325201
455	0.1094171518
456	0.1093539544
457	0.1092682019
458	0.1091146927
459	0.1091099081
460	0.109002654
461	0.108899632
462	0.1086727383
463	0.1085727748
464	0.1083765573
465	0.1081763066
466	0.108172665
467	0.1081064769
468	0.1078287081
469	0.1077287883
470	0.1076492397
471	0.1074984265
472	0.1072757196
473	0.1071599344
474	0.1070724065
475	0.106870543
476	0.1066360951
477	0.1065416627
478	0.1064181263
479	0.1063833144
480	0.1063793408
481	0.106237676
482	0.1062006977
483	0.1060058466
484	0.1059481846
485	0.1057797342
486	0.1056549319
487	0.1055471726
488	0.1054440947
489	0.1052594267
490	0.1052276882
491	0.1051429083
492	0.1050669104
493	0.1049361735
494	0.1048678535
495	0.104800007
496	0.1046281739
497	0.1045462855
498	0.1043305702
499	0.1042265774
500	0.1041063337
501	0.1040133087
502	0.103953524
503	0.1037643258
504	0.1037614108
505	0.1035366838
506	0.103422455
507	0.1032724662
508	0.1032680545
509	0.1032650901
510	0.103190057
511	0.1029867364
512	0.1029109156
513	0.1027928801
514	0.1026986437
515	0.1024619478
516	0.102404682
517	0.1022589923
518	0.102122656
519	0.102002112
520	0.1018850612
521	0.1016705572
522	0.1015986248
523	0.1014909656
524	0.1014078157
525	0.1013416512
526	0.1012455905
527	0.1011718883
528	0.1010158065
529	0.1009380591
530	0.1007812942
531	0.1007777371
532	0.1007179933
533	0.1007095568
534	0.1006183274
535	0.1004672663
536	0.1003883024
537	0.1002725816
538	0.1002203869
539	0.1001415441
540	0.1000477112
541	0.1000449817
542	0.1000084978
543	0.09989209888
544	0.09973756677
545	0.09955208288
546	0.09946297706
547	0.09945933916
548	0.09937205863
549	0.09924383497
550	0.09920199004
551	0.09902241761
552	0.09889099422
553	0.09881469843
554	0.09881165675
555	0.0986832336
556	0.09863090202
557	0.09856523466
558	0.09844410186
559	0.09839417019
560	0.09829134455
561	0.09828761059
562	0.09821946134
563	0.09806734124
564	0.097988892
565	0.09782900658
566	0.09777319491
567	0.09766308337
568	0.09749033583
569	0.09745670248
570	0.09725622525
571	0.09712311323
572	0.09693988397
573	0.09693699216
574	0.09685307894
575	0.09678724371
576	0.09672672696
577	0.09660231816
578	0.09649538726
579	0.09641145215
580	0.09629642526
581	0.09616157169
582	0.09606028472
583	0.09595471725
584	0.09595195165
585	0.0958235657
586	0.09574549639
587	0.09569021288
588	0.09556083734
589	0.09555849702
590	0.09545053931
591	0.09537736553
592	0.09529704381
593	0.09519303453
594	0.09512736761
595	0.09511465335
596	0.0950850576
597	0.09496695906
598	0.09489813971
599	0.09480102979
600	0.0947452192
601	0.09474285311
602	0.0946913138
603	0.09459856425
604	0.09455796496
605	0.0945059679
606	0.09450368181
607	0.09446559724
608	0.09430467426
609	0.09419659166
610	0.09412452736
611	0.09404754471
612	0.09400380705
613	0.09391889179
614	0.09382556094
615	0.09370829481
616	0.09365061828
617	0.09354883831
618	0.09345058537
619	0.09337442204
620	0.09336232509
621	0.09322129186
622	0.09314034545
623	0.09306145387
624	0.09296346325
625	0.09292690039
626	0.09280613131
627	0.09275625785
628	0.09261567745
629	0.09255302291
630	0.09249914987
631	0.09245120091
632	0.0922697918
633	0.09221324203
634	0.09215664437
635	0.09212050406
636	0.09203791345
637	0.09195034779
638	0.09187811885
639	0.09172688281
640	0.09164649544
641	0.09154544932
642	0.09144807519
643	0.09134618532
644	0.09126515993
645	0.09112433326
646	0.09105683513
647	0.09099309863
648	0.09096347556
649	0.09091012495
650	0.09087144026
651	0.09083456863
652	0.09075442566
653	0.09069616808
654	0.0906350297
655	0.09059319254
656	0.09056268668
657	0.09048773639
658	0.09040850792
659	0.09029994695
660	0.09021307664
661	0.09017113862
662	0.09012665304
663	0.090104304
664	0.09004344336
665	0.0900416019
666	0.08997616887
667	0.08989866732
668	0.08986030269
669	0.08982435477
670	0.08977091023
671	0.08971201577
672	0.08964965314
673	0.08955884724
674	0.08950765692
675	0.0894711088
676	0.08940663515
677	0.08933246829
678	0.08926162182
679	0.08919485133
680	0.08908170623
681	0.08902232125
682	0.08897830725
683	0.08894856357
684	0.08885021344
685	0.08882188202
686	0.08881977524
687	0.08873696607
688	0.08864423206
689	0.0885827382
690	0.08858065648
691	0.0884920829
692	0.08838921454
693	0.08833178034
694	0.0882976998
695	0.08821031507
696	0.08812493216
697	0.08804443174
698	0.08800263408
699	0.08790647797
700	0.0878542435
701	0.08779416394
702	0.08777067025
703	0.08773136783
704	0.08764573088
705	0.0875416994
706	0.08750856036
707	0.08748642414
708	0.08744979171
709	0.08741371395
710	0.08734677308
711	0.08725835067
712	0.08720483025
713	0.08711527735
714	0.08708123711
715	0.08696331139
716	0.08694726802
717	0.0868530009
718	0.08680591252
719	0.0867181432
720	0.08664577632
721	0.08659903318
722	0.0865580178
723	0.08651708609
724	0.08643865986
725	0.08638579906
726	0.08633987581
727	0.08629763261
728	0.08625083568
729	0.08619254973
730	0.08619051078
731	0.0861391285
732	0.08608152529
733	0.08602257574
734	0.08599522249
735	0.08595518345
736	0.08589779654
737	0.08589624949
738	0.0858322099
739	0.08575185735
740	0.08569490643
741	0.08566362681
742	0.08561442853
743	0.08554281126
744	0.08546937031
745	0.08540769012
746	0.08540578689
747	0.08536478743
748	0.0853160676
749	0.08528089744
750	0.08523621282
751	0.08520862731
752	0.08516232155
753	0.08509639349
754	0.08502402375
755	0.08498366161
756	0.08488947861
757	0.08483006838
758	0.0847637517
759	0.08473939682
760	0.08473793964
761	0.08470608959
762	0.08467902284
763	0.08462405605
764	0.0845926543
765	0.08453360658
766	0.08449002635
767	0.08446905277
768	0.08435605404
769	0.08432983046
770	0.08432857103
771	0.08429882656
772	0.08420797143
773	0.08420463955
774	0.08411483562
775	0.08405463587
776	0.08401067226
777	0.08395087282
778	0.08391640133
779	0.08385508249
780	0.08381114783
781	0.08372223952
782	0.08368980242
783	0.08366837948
784	0.08360252611
785	0.08356617897
786	0.08354333967
787	0.08349198862
788	0.08344248167
789	0.08337594429
790	0.08334885329
791	0.08325757227
792	0.08325638333
793	0.08317912863
794	0.08317797636
795	0.08313414476
796	0.08305584933
797	0.08298692125
798	0.08290917123
799	0.08284128626
800	0.08281891949
801	0.08276334946
802	0.082713294
803	0.08261189714
804	0.08251518716
805	0.082486777
806	0.08244212322
807	0.08239229381
808	0.08239027384
809	0.08235321961
810	0.08231813957
811	0.08227720834
812	0.0822441449
813	0.08216562341
814	0.08211640442
815	0.08209119025
816	0.08204388724
817	0.08198882864
818	0.08196550301
819	0.08193433239
820	0.08188373377
821	0.08183588879
822	0.08179243974
823	0.08173436257
824	0.08170902331
825	0.08167864754
826	0.0816288454
827	0.08160361958
828	0.08155876941
829	0.081524662
830	0.08147841939
831	0.08144829684
832	0.08144703285
833	0.08142772106
834	0.08133687715
835	0.08126517664
836	0.0811992818
837	0.08112967268
838	0.08111064745
839	0.08105394176
840	0.08101128837
841	0.08091807185
842	0.08085769626
843	0.08081315588
844	0.08075694829
845	0.08068566102
846	0.08067119525
847	0.08063892759
848	0.08059630868
849	0.08055575157
850	0.08049390551
851	0.08042303176
852	0.08037444174
853	0.08034960551
854	0.08031498504
855	0.08023911991
856	0.08023782569
857	0.08017689838
858	0.08015471317
859	0.08012092527
860	0.08008722352
861	0.0800397185
862	0.07998148697
863	0.07996606527
864	0.07992874927
865	0.07988902867
866	0.07984611407
867	0.07981107406
868	0.07979256792
869	0.07971440817
870	0.0796428621
871	0.07964175525
872	0.07960336247
873	0.07953598109
874	0.07949090073
875	0.07945848237
876	0.07937995405
877	0.07932631423
878	0.07927142298
879	0.07923176333
880	0.07919889935
881	0.07915190849
882	0.07911303485
883	0.07906136085
884	0.07903518307
885	0.07900970144
886	0.07900736145
887	0.07895804717
888	0.07892334022
889	0.0788973921
890	0.07884671741
891	0.07879994666
892	0.07875329582
893	0.07870720844
894	0.07866843311
895	0.0786522288
896	0.07861477329
897	0.07858991334
898	0.07856921123
899	0.07853795452
900	0.07846947463
901	0.07839732595
902	0.07834260876
903	0.07831851362
904	0.07827320375
905	0.07825503375
906	0.07823494544
907	0.07819613645
908	0.07814752844
909	0.07812174857
910	0.07809143769
911	0.07806531235
912	0.07803363525
913	0.0779926471
914	0.07796581895
915	0.07786384248
916	0.07781516322
917	0.07779265091
918	0.07775940166
919	0.07773839213
920	0.0777002207
921	0.07766758499
922	0.0776352128
923	0.07761347662
924	0.07754939686
925	0.07751935892
926	0.07747576067
927	0.07742003033
928	0.07740016919
929	0.07734331063
930	0.07730063785
931	0.07724955336
932	0.07719631522
933	0.07714178235
934	0.07709760815
935	0.0770513006
936	0.07700296505
937	0.07693626235
938	0.07690832762
939	0.07683911592
940	0.07679535065
941	0.07674209554
942	0.07668871513
943	0.07666058102
944	0.07661134838
945	0.07658094417
946	0.07655657802
947	0.07651429618
948	0.07646390456
949	0.07641490114
950	0.07637576408
951	0.0763322996
952	0.07630242436
953	0.07626429702
954	0.07619002043
955	0.07614871677
956	0.07614774308
957	0.07610903214
958	0.07610391171
959	0.07607769541
960	0.07601085319
961	0.07598142856
962	0.07595730727
963	0.07592723662
964	0.07589493651
965	0.07583753486
966	0.07581660561
967	0.07579855107
968	0.07579760756
969	0.07577311224
970	0.07575186517
971	0.07571479601
972	0.07565102999
973	0.07565011176
974	0.07561034738
975	0.07556983853
976	0.07555010085
977	0.07549933244
978	0.07546857667
979	0.07544300152
980	0.07540248622
981	0.07534713254
982	0.07531656058
983	0.07530238649
984	0.07525000565
985	0.07518302834
986	0.07513500861
987	0.07513321119
988	0.0750979002
989	0.07505174425
990	0.07502456849
991	0.07497505486
992	0.07492437388
993	0.0748748278
994	0.07484982554
995	0.07482587601
996	0.07479262976
997	0.07477714173
998	0.07473415745
999	0.07470007045
